,Open,High,Low,Close,Adj Close,Volume
0,1427.0,1430.0,1412.800048828125,1419.8499755859375,1413.7313232421875,5530025
1,1396.0,1424.199951171875,1395.050048828125,1403.550048828125,1397.501708984375,7259517
2,1399.75,1408.5999755859375,1388.8499755859375,1399.5,1393.4691162109375,6887463
3,1394.3499755859375,1398.9000244140625,1382.3499755859375,1386.8499755859375,1380.87353515625,5302071
4,1395.1500244140625,1442.5999755859375,1381.300048828125,1440.25,1434.04345703125,7560346
5,1458.949951171875,1482.75,1455.0,1476.699951171875,1470.3363037109375,11082640
6,1470.199951171875,1478.8499755859375,1452.550048828125,1458.199951171875,1451.916015625,5065458
7,1458.3499755859375,1465.9000244140625,1428.5,1432.800048828125,1426.6256103515625,5342092
8,1443.0,1501.9000244140625,1443.0,1497.300048828125,1490.84765625,9670823
9,1503.25,1520.449951171875,1498.5,1509.949951171875,1503.4429931640625,11073051
10,1510.5,1513.75,1470.5,1478.949951171875,1472.57666015625,9618487
11,1480.0,1487.0,1470.0,1477.050048828125,1470.6849365234375,6141995
12,1473.0999755859375,1489.0,1462.449951171875,1482.6500244140625,1476.2607421875,10219748
13,1490.9000244140625,1513.0,1478.75,1503.449951171875,1496.9710693359375,8875010
14,1500.0,1519.5,1487.5,1515.8499755859375,1509.317626953125,7830527
15,1520.300048828125,1527.0,1507.25,1511.699951171875,1505.185546875,5515081
16,1510.0,1510.199951171875,1493.0,1504.0,1497.5186767578125,5312008
17,1508.0,1524.949951171875,1487.75,1520.550048828125,1513.9974365234375,5143630
18,1516.0,1520.6500244140625,1499.199951171875,1500.949951171875,1494.4818115234375,4712238
19,1510.0,1514.0,1496.0,1499.8499755859375,1493.3865966796875,4045834
20,1496.550048828125,1501.300048828125,1481.5,1483.050048828125,1476.6590576171875,4936270
21,1483.9000244140625,1502.0,1472.050048828125,1480.300048828125,1473.9208984375,5111721
22,1482.0999755859375,1489.0,1473.6500244140625,1481.050048828125,1474.667724609375,5741770
23,1491.0,1496.550048828125,1481.050048828125,1486.3499755859375,1479.94482421875,3602987
24,1478.25,1486.0,1462.550048828125,1479.449951171875,1473.074462890625,4440982
25,1486.0,1496.0,1474.800048828125,1490.25,1483.8280029296875,3784801
26,1488.0,1494.0,1478.0999755859375,1484.5999755859375,1478.2022705078125,3851049
27,1466.0,1478.75,1460.0,1466.0999755859375,1459.781982421875,4641901
28,1469.5,1490.0,1455.0,1479.800048828125,1473.423095703125,5969030
29,1461.3499755859375,1491.800048828125,1459.0,1488.699951171875,1482.28466796875,3630236
30,1497.0,1508.0,1480.0,1483.800048828125,1477.4058837890625,7183412
31,1490.0,1497.800048828125,1478.5999755859375,1485.5,1479.0985107421875,3922434
32,1490.0,1513.449951171875,1488.0,1506.25,1499.759033203125,7392512
33,1511.0999755859375,1522.0,1507.0,1515.0999755859375,1508.5709228515625,5191588
34,1520.0,1523.0,1505.0,1508.3499755859375,1501.8499755859375,4678393
35,1507.0,1508.199951171875,1492.1500244140625,1502.050048828125,1502.050048828125,5485846
36,1498.0,1509.0,1494.0999755859375,1497.9000244140625,1497.9000244140625,4839511
37,1502.0,1502.0,1483.0,1486.75,1486.75,8455721
38,1485.0,1489.25,1477.0,1480.4000244140625,1480.4000244140625,7413518
39,1489.949951171875,1504.5,1484.550048828125,1495.449951171875,1495.449951171875,3686941
40,1497.0,1540.0,1496.0,1534.699951171875,1534.699951171875,8834516
41,1534.0,1545.3499755859375,1527.699951171875,1539.5,1539.5,4814595
42,1525.0,1537.699951171875,1513.449951171875,1520.449951171875,1520.449951171875,4210461
43,1512.550048828125,1516.0,1497.5,1502.0,1502.0,5347921
44,1502.0,1502.0,1484.0,1487.0,1487.0,7229489
45,1496.0999755859375,1506.0999755859375,1484.0999755859375,1501.8499755859375,1501.8499755859375,9089071
46,1497.5,1507.3499755859375,1491.0999755859375,1499.1500244140625,1499.1500244140625,4894247
47,1505.0,1526.75,1499.6500244140625,1520.699951171875,1520.699951171875,5219401
48,1527.949951171875,1529.949951171875,1518.800048828125,1522.3499755859375,1522.3499755859375,2585314
49,1487.0,1488.8499755859375,1466.0,1471.0,1471.0,12555800
50,1442.0,1454.0,1436.1500244140625,1443.1500244140625,1443.1500244140625,12087125
51,1456.0999755859375,1468.5,1445.0,1448.699951171875,1448.699951171875,6603557
52,1451.5,1457.449951171875,1435.300048828125,1442.75,1442.75,6563342
53,1430.0,1444.0,1428.0999755859375,1434.550048828125,1434.550048828125,6583583
54,1436.0999755859375,1449.9000244140625,1436.0999755859375,1439.75,1439.75,11200715
55,1435.050048828125,1438.699951171875,1404.0,1417.300048828125,1417.300048828125,10335171
56,1428.25,1429.949951171875,1413.300048828125,1418.25,1418.25,6851115
57,1419.0,1431.75,1407.949951171875,1426.449951171875,1426.449951171875,5827744
58,1435.0,1435.0,1416.25,1422.6500244140625,1422.6500244140625,6629393
59,1410.0,1439.9000244140625,1410.0,1434.699951171875,1434.699951171875,6016560
60,1441.0,1474.5,1440.0,1465.300048828125,1465.300048828125,11026974
61,1467.0999755859375,1507.050048828125,1457.4000244140625,1484.8499755859375,1484.8499755859375,9411204
62,1483.550048828125,1500.0,1474.0,1492.6500244140625,1492.6500244140625,6669635
63,1492.0,1507.3499755859375,1476.0,1503.9000244140625,1503.9000244140625,5499024
64,1489.0,1519.75,1489.0,1507.6500244140625,1507.6500244140625,7419173
65,1514.9000244140625,1518.8499755859375,1491.050048828125,1494.949951171875,1494.949951171875,6292893
66,1497.0,1507.5999755859375,1489.300048828125,1501.4000244140625,1501.4000244140625,4298837
